qid,relation_id,relation_labels
Q126399,"dict_keys(['employer', 'owned by', 'record label', 'producer', 'production company', 'founded by', 'distributed by', 'parent organization', 'has subsidiary', 'Wikidata property example', 'owner of', 'location', 'operator', 'winner', 'followed by', 'template has topic', 'named after', 'category combines topics', 'participant', 'publisher', 'plaintiff', 'copyright holder', 'discoverer or inventor', 'creator', 'said to be the same as', 'distribution format', 'main subject', 'represents', 'organization directed by the office or position', ""category's main topic"", 'occupant', 'has part(s)', 'filming location'])","dict_values(['P108', 'P127', 'P264', 'P162', 'P272', 'P112', 'P750', 'P749', 'P355', 'P1855', 'P1830', 'P276', 'P137', 'P1346', 'P156', 'P1423', 'P138', 'P971', 'P710', 'P123', 'P1620', 'P3931', 'P61', 'P170', 'P460', 'P437', 'P921', 'P1268', 'P2389', 'P301', 'P466', 'P527', 'P915'])"
Q12439,"dict_keys(['place of birth', 'home port', 'location', 'country of origin', 'recorded at studio or venue', 'residence', 'place of publication', 'has part(s)', 'location of formation', ""category's main topic"", 'twinned administrative body', 'narrative location', 'filming location', 'sponsor', 'main subject', 'work location', 'place served by transport hub', 'place of death', 'terminus location', 'terminus', 'capital', 'shares border with', 'employer', 'place of burial', 'ancestral home', 'location of first performance', 'owned by', 'located in the administrative territorial entity', 'operating area', 'category combines topics', 'item for this sense', 'named after', 'operator', 'headquarters location', 'contains the administrative territorial entity', 'followed by', 'location of creation', 'applies to jurisdiction', 'conferred by', 'licensed to broadcast to', ""Wikimedia portal's main topic"", 'facet of', 'destination point', 'start point'])","dict_values(['P19', 'P504', 'P276', 'P495', 'P483', 'P551', 'P291', 'P527', 'P740', 'P301', 'P190', 'P840', 'P915', 'P859', 'P921', 'P937', 'P931', 'P20', 'P609', 'P559', 'P36', 'P47', 'P108', 'P119', 'P66', 'P4647', 'P127', 'P131', 'P2541', 'P971', 'P5137', 'P138', 'P137', 'P159', 'P150', 'P156', 'P1071', 'P1001', 'P1027', 'P1408', 'P1204', 'P1269', 'P1444', 'P1427'])"
Q7370831,dict_keys([]),dict_values([])
Q6817891,dict_keys([]),dict_values([])
Q1297,"dict_keys(['place of birth', 'residence', 'place of publication', 'location', 'depicts', 'twinned administrative body', 'collection', 'terminus', 'exhibition history', 'terminus location', 'part of', 'recorded at studio or venue', 'family name', 'location of formation', 'home port', 'port of registry', 'narrative location', 'operating area', 'location of first performance', 'indigenous to', 'filming location', 'recording location', ""category's main topic"", 'main subject', 'place served by transport hub', 'work location', 'distributed from', 'item for this sense', 'significant place', 'category combines topics', 'applies to jurisdiction', 'location of creation', ""Wikimedia portal's main topic"", 'facet of', 'licensed to broadcast to', 'start point', 'different from', 'published in', 'destination point', 'place of death', 'inspired by', 'country of citizenship', 'capital', 'shares border with', 'educated at', 'employer', 'place of burial', 'field of work', 'located in the administrative territorial entity', 'maintained by', 'owned by', 'named after', 'contains the administrative territorial entity', 'followed by', 'headquarters location', 'operator', 'performer'])","dict_values(['P19', 'P551', 'P291', 'P276', 'P180', 'P190', 'P195', 'P559', 'P608', 'P609', 'P361', 'P483', 'P734', 'P740', 'P504', 'P532', 'P840', 'P2541', 'P4647', 'P2341', 'P915', 'P8546', 'P301', 'P921', 'P931', 'P937', 'P10754', 'P5137', 'P7153', 'P971', 'P1001', 'P1071', 'P1204', 'P1269', 'P1408', 'P1427', 'P1889', 'P1433', 'P1444', 'P20', 'P941', 'P27', 'P36', 'P47', 'P69', 'P108', 'P119', 'P101', 'P131', 'P126', 'P127', 'P138', 'P150', 'P156', 'P159', 'P137', 'P175'])"
Q193592,"dict_keys(['part of', 'position played on team / speciality', 'subclass of', 'position held', 'occupation', 'field of work', 'place of birth', ""category's main topic"", 'given name', 'item for this sense'])","dict_values(['P361', 'P413', 'P279', 'P39', 'P106', 'P101', 'P19', 'P301', 'P735', 'P5137'])"
Q19896779,"dict_keys(['named after', 'conflict', 'significant event', 'main subject', 'different from'])","dict_values(['P138', 'P607', 'P793', 'P921', 'P1889'])"
Q6849115,dict_keys([]),dict_values([])
Q842256,"dict_keys(['instance of', 'genre', 'field of work', 'subclass of', ""category's main topic"", 'category combines topics', 'main subject', 'different from', 'facet of'])","dict_values(['P31', 'P136', 'P101', 'P279', 'P301', 'P971', 'P921', 'P1889', 'P1269'])"
Q7273,"dict_keys(['author', 'named after', 'influenced by', 'spouse', 'main subject'])","dict_values(['P50', 'P138', 'P737', 'P26', 'P921'])"
