qid,target_relation,questions,relation_id,relation_labels
Q7357444,P136,what kind of music does rodrigo de la cadena make?,dict_keys(['performer']),dict_values(['P175'])
Q6184091,P19,what country is jerry mercer from,dict_keys([]),dict_values([])
Q1092349,P57,Who directed the five days?,dict_keys(['notable work']),dict_values(['P800'])
Q19842222,P136,What crime fiction film was released in 1939?,dict_keys([]),dict_values([])
Q17039276,P364,which language was spoken in strange fascination,dict_keys([]),dict_values([])
Q3894098,P19,Where is Kenneth F. Simpson's place of birth?,dict_keys([]),dict_values([])
Q130232,P136,what is a drama film?,"dict_keys(['subclass of', 'instance of', 'genre', ""category's main topic"", 'field of work', 'composer', 'main subject', 'category combines topics', 'facet of', 'different from'])","dict_values(['P279', 'P31', 'P136', 'P301', 'P101', 'P86', 'P921', 'P971', 'P1269', 'P1889'])"
Q5134646,P19,what country was clive pearse given birth in,dict_keys([]),dict_values([])
Q859369,P136,what is the name of a comedy-drama film,"dict_keys(['subclass of', 'instance of', 'genre', ""category's main topic"", 'category combines topics', 'different from'])","dict_values(['P279', 'P31', 'P136', 'P301', 'P971', 'P1889'])"
Q159818,P19,who was born in travnik?,"dict_keys(['place of birth', 'located in the administrative territorial entity', 'place of death', 'capital', 'headquarters location', 'twinned administrative body', 'location', ""category's main topic"", 'residence', 'main subject', 'category combines topics'])","dict_values(['P19', 'P131', 'P20', 'P36', 'P159', 'P190', 'P276', 'P301', 'P551', 'P921', 'P971'])"
Q887710,P495,What was the country of origin of the pirates of dark water,dict_keys(['based on']),dict_values(['P144'])
Q2309708,P413,what position does benedict iroha play,dict_keys([]),dict_values([])
Q3636641,P710,what was the battle of trekkopjes for,dict_keys(['has part(s)']),dict_values(['P527'])
Q6344597,P19,where was the birth place of kacey jones,dict_keys([]),dict_values([])
Q68467,P17,What is the basin country for lake champlain?,"dict_keys(['instance of', 'named after', 'located in or next to body of water', 'location', 'crosses', 'part of', ""category's main topic"", 'mouth of the watercourse', 'depicts', 'main subject', 'origin of the watercourse', 'connects with', 'category combines topics', 'located in/on physical feature', 'lowest point'])","dict_values(['P31', 'P138', 'P206', 'P276', 'P177', 'P361', 'P301', 'P403', 'P180', 'P921', 'P885', 'P2789', 'P971', 'P706', 'P1589'])"
Q6443504,P27,what country gives duleepsinhji his nationality,dict_keys([]),dict_values([])
